,title,address_code,beds,baths,year_built,tenure,property_type,mrt_distance,sqft,price
3621,HDB Flat for Sale in 311C Clementi Avenue 4,['(D5)'],2,2,2014,99,HDB,['(687 m)'],646,"560,000"
3622,HDB Flat for Sale in 317C Yishun Avenue 9,['(D27)'],3,2,2015,99,HDB,,968,"480,000"
3623,3 Bed Condo for Sale in Parc Esta,['(D14)'],3,1,2022,99,Condo,['(186 m)'],926,"1,600,000"
3624,3 Bed Condo for Sale in The Estuary,['(D27)'],3,3,2013,99,Condo,['(780 m)'],"1,302","1,280,000"
3625,6 Bed House for Sale in Serangoon Garden Estate,['(D19)'],6,7,,,Bungalow,,"4,839","5,800,000"
3626,2 Bed Condo for Sale in Dairy Farm Residences,['(D23)'],2,1,2024,99,Condo,['(4388 m)'],624,"964,000"
3627,6 Bed House for Sale in Serangoon Garden Estate,['(D19)'],6,7,,,Bungalow,,"4,839","6,000,000"
3628,2 Bed Condo for Sale in Kent Ridge Hill Residences,['(D5)'],2,1,2024,99,Condo,['(987 m)'],732,"1,309,000"
3629,HDB Flat for Sale in 961 Hougang Avenue 9,['(D19)'],4,2,1999,99,HDB,,"1,475","630,000"
3630,3 Bed Condo for Sale in 8 Farrer Suites,['(D8)'],3,4,2017,Freehold,Condo,['(286 m)'],"1,399","1,943,600"
3631,1 Bed Condo for Sale in Grandview Suites,['(D14)'],1,1,2015,Freehold,Condo,['(409 m)'],506,"680,000"
3632,1 Bed Condo for Sale in Robin Suites,['(D10)'],1,1,2015,Freehold,Condo,['(431 m)'],441,"1,280,000"
3633,5 Bed House for Sale in Woo Mon Chew Road,['(D15)'],5,5,,,,,"3,322","5,880,000"
3634,2 Bed Condo for Sale in The Scala,['(D19)'],2,2,2014,99,Condo,['(240 m)'],840,"1,300,000"
3635,4 Bed House for Sale in Pasir Ris Beach Park,['(D18)'],4,3,1977,,,,"6,234","5,100,000"
3636,4 Bed EC for Sale in Waterbay,['(D19)'],4,4,2016,99,Executive Condo,['(258 m)'],"2,239","1,880,000"
3637,3 Bed EC for Sale in Simei Green Condominium,['(D18)'],3,2,1999,99,Executive Condo,['(776 m)'],"1,561","1,200,000"
3638,4 Bed Condo for Sale in Irwell Hill Residences,['(D9)'],4,4,2025,99,Condo,['(1540 m)'],"1,582","4,056,000"
3639,1 Bed Condo for Sale in River Place,['(D3)'],1,1,2000,99,Condo,['(1583 m)'],786,"1,150,000"
3640,2 Bed Condo for Sale in The Estuary,['(D27)'],2,2,2013,99,Condo,['(780 m)'],"1,034","970,000"
3641,3 Bed Condo for Sale in Clavon,['(D5)'],3,2,2025,99,Condo,['(824 m)'],"1,130","1,776,000"
3642,3 Bed Condo for Sale in Clavon,['(D5)'],3,2,2025,99,Condo,['(824 m)'],"1,281","1,964,000"
3643,2 Bed Condo for Sale in The Florence Residences,['(D19)'],2,1,2023,99,Condo,['(1194 m)'],624,"1,003,000"
3644,1 Bed Condo for Sale in The Florence Residences,['(D19)'],1,1,2023,99,Condo,['(1194 m)'],474,"827,000"
3645,1 Bed Condo for Sale in The Clift,['(D1)'],1,1,2011,99,Apartment,['(329 m)'],764,"1,680,000"
3646,3 Bed Condo for Sale in Forest Woods,['(D19)'],3,2,2021,99,Condo,['(436 m)'],"1,066","1,756,000"
3647,HDB Flat for Sale in 180 Bedok North Road,['(D16)'],3,2,2006,99,HDB,['(694 m)'],915,"598,000"
3648,HDB Flat for Sale in 166A Teck Whye Crescent,['(D23)'],1,1,2015,99,HDB,['(1005 m)'],506,"280,000"
3649,HDB Flat for Sale in 278 Tampines Street 22,['(D18)'],3,2,1985,,HDB 5 Rooms,['(467 m)'],133,"620,000"
3650,HDB Flat for Sale in 80A Telok Blangah Street 31,['(D4)'],3,2,2013,99,HDB,['(435 m)'],"1,022","850,000"
3651,5 Bed House for Sale in West Shore Residences,['(D5)'],5,7,2014,Freehold,Cluster House,['(342 m)'],"4,661","3,100,000"
3652,6 Bed House for Sale in Wak Hassan Drive,['(D27)'],6,5,,,Corner Terrace,,"2,572","3,500,000"
3653,1 Bed Condo for Sale in City Loft,['(D8)'],1,1,2011,Freehold,Apartment,['(391 m)'],323,"600,000"
3654,1 Bed Condo for Sale in Nathan Residences,['(D10)'],1,1,2012,Freehold,Condo,['(1331 m)'],840,"1,300,000"
3655,3 Bed Condo for Sale in Parc Riviera,['(D5)'],3,2,2020,99,Condo,,904,"1,390,000"
3656,5 Bed Condo for Sale in The Florence Residences,['(D19)'],5,5,2023,99,Condo,['(1194 m)'],"1,679","2,440,000"
3657,HDB Flat for Sale in 183 Edgefield Plains,['(D19)'],3,2,2003,,HDB 5 Rooms,['(215 m)'],"1,184","500,000"
3658,HDB Flat for Sale in 129 Clarence Lane,['(D3)'],3,2,1996,99,HDB,['(448 m)'],"1,292","850,000"
3659,1 Bed Condo for Sale in The Sail @ Marina Bay,['(D1)'],1,1,2008,99,Condo,['(216 m)'],657,"1,250,000"
3660,1 Bed Condo for Sale in Forte Suites,['(D8)'],1,2,2018,Freehold,Condo,['(1392 m)'],441,"998,000"
3661,3 Bed EC for Sale in Provence Residence,['(D27)'],3,,2026,99,Executive Condo,['(941 m)'],883,"895,000"
3662,2 Bed Condo for Sale in Midwood,['(D23)'],2,,2024,99,Condo,['(352 m)'],635,"1,003,000"
3663,3 Bed Condo for Sale in Tanamera Crest,['(D16)'],3,2,2005,99,Condo,['(1877 m)'],"1,173","990,000"
3664,2 Bed Condo for Sale in Roots @ Transit,['(D26)'],2,,2019,99,Condo,,594,"760,000"
3665,3 Bed Condo for Sale in Affinity At Serangoon,['(D19)'],3,,2024,99,Condo,,861,"1,288,000"
3666,2 Bed Condo for Sale in One Bernam,['(D2)'],2,,2026,99,Condo,['(372 m)'],732,"1,680,000"
3667,2 Bed Condo for Sale in Aura 83,['(D15)'],2,2,2016,Freehold,Condo,,775,"1,100,000"
3668,1 Bed Condo for Sale in Rezi 26,['(D14)'],1,1,2015,Freehold,Condo,['(465 m)'],807,"850,000"
3669,2 Bed Condo for Sale in Jade Residences,['(D19)'],2,1,2017,Freehold,Condo,['(463 m)'],"1,140","1,580,000"
3670,2 Bed Condo for Sale in City Gate,['(D7)'],2,2,2019,99,Apartment,['(322 m)'],700,"1,580,000"
3671,HDB Flat for Sale in 807A Chai Chee Road,['(D16)'],3,2,2016,99,HDB,['(2549 m)'],"1,001","640,000"
3672,1 Bed Condo for Sale in D'leedon,['(D10)'],1,1,2015,99,Condo,['(829 m)'],635,"1,200,000"
3673,4 Bed Condo for Sale in St. Patrick's Residences,['(D15)'],4,4,2013,Freehold,Apartment,,"3,423","4,288,000"
3674,4 Bed Condo for Sale in 72 Grange,['(D10)'],4,4,1995,Freehold,Condo,['(1648 m)'],"3,627","8,000,000"
3675,HDB Flat for Sale in 327 Jurong East Street 31,['(D22)'],3,2,1986,99,HDB,['(1223 m)'],"1,518","630,000"
3676,4 Bed Condo for Sale in The Trilinq,['(D5)'],4,3,2017,99,Condo,['(624 m)'],"1,518","2,350,000"
3677,3 Bed Condo for Sale in Heron Bay,['(D19)'],3,,2015,99,Condo,['(961 m)'],"1,227","1,388,000"
3678,2 Bed Condo for Sale in City Edge,['(D11)'],2,2,2007,Freehold,Condo,['(321 m)'],829,"1,550,000"
3679,1 Bed Condo for Sale in Le Regal,['(D14)'],1,1,2016,Freehold,Condo,['(638 m)'],370,"688,000"
3680,3 Bed Condo for Sale in Marina Collection,['(D4)'],3,,2011,99,Condo,,"2,099","3,860,000"
